IncidentDate,State,CityOrCounty,Address,Killed,Injured,Operations
"December 30, 2016",Connecticut,Wallingford,"95 S Turnpike Rd",2,3,N/A
"December 28, 2016",Georgia,Columbus,"2914 10th Street",1,4,N/A
"December 25, 2016",Illinois,Chicago,"8600 block of S Maryland Ave",3,4,N/A
"December 25, 2016",Alabama,Ozark,"858 US-231",0,4,N/A
"December 25, 2016","New York","Mount Vernon","4 North 3rd Avenue",1,5,N/A
"December 24, 2016","North Carolina",Madison,"490 K Ford Rd",0,7,N/A
"December 24, 2016","North Carolina",Wilson,"2241 Banks Lane East",4,0,N/A
"December 23, 2016",Alabama,Birmingham,"3813 Richard Arrington Boulevard North",1,3,N/A
"December 23, 2016",Illinois,Chicago,"4900 block of W Hubbard",0,4,N/A
"December 17, 2016",Illinois,"Chicago (Roseland)","100 block of W 105th St",5,0,N/A
"December 17, 2016","North Carolina",Charlotte,"4115 N. Tryon Street",0,4,N/A
"December 16, 2016",Illinois,Chicago,"13th and South Kedzie",0,4,N/A
"December 16, 2016",Illinois,Chicago,"4300 block of South Rockwell",2,2,N/A
"December 12, 2016",California,Sacramento,"4800 block of Myrtle Avenue",1,3,N/A
"December 11, 2016","New York",Brooklyn,"192 Knickerbocker Ave",0,4,N/A
"December 11, 2016",Florida,"Orlando (Pine Hills)","4305 N Pine Hills Rd",1,4,N/A
"December 11, 2016",Maryland,Baltimore,"3916 South Hanover Street",0,5,N/A
"December 11, 2016","North Carolina","Rocky Mount","1200 block of East Highland Ave",0,4,N/A
"December 9, 2016",Texas,Channelview,"15300 block of Market",4,0,N/A
"December 9, 2016",California,Fresno,"842 Fresno Street",0,4,N/A
"December 5, 2016","New Mexico",Albuquerque,"1532 Stagecoach Lane",4,1,N/A
"December 3, 2016",California,"Los Angeles","91st Street and Western Avenue",0,6,N/A
"December 2, 2016","New Jersey",Bloomfield,"3 1st Ave",0,6,N/A
"December 1, 2016",California,"Clearlake Oaks",N/A,1,3,N/A
"November 30, 2016",Maryland,Baltimore,"2901 Garrison Blvd",2,4,N/A
"November 28, 2016",Texas,"Mission (Palmview)","1840 West Palma Vista Drive",1,3,N/A
"November 28, 2016",California,Wilmington,"1067 McDonald Avenue",0,4,N/A
"November 28, 2016",California,"San Pedro","300 block of West 2nd Street",0,4,N/A
"November 27, 2016",Louisiana,"New Orleans","100 block of Bourbon Street",1,9,N/A
"November 27, 2016",Missouri,"Kansas City","Gregory and Prospect",0,7,N/A
"November 26, 2016",Illinois,Chicago,"8800 block of S Exchange Ave",1,5,N/A
"November 25, 2016",Louisiana,"New Orleans","Magnolia St and Felicity St",0,4,N/A
"November 24, 2016",Kentucky,Louisville,"4501 W Broadway",2,4,N/A
"November 24, 2016","New York",Albany,"77 Central Ave",1,3,N/A
"November 23, 2016",Mississippi,"Olive Branch","928 Cross Road",0,4,N/A
"November 22, 2016",Florida,Clewiston,"1068 Harlem Academy Ave",1,4,N/A
"November 18, 2016",Illinois,Chicago,"5000 block of W Wabansia",0,4,N/A
"November 17, 2016",Tennessee,Dyersburg,"160 Longfellow",1,7,N/A
"November 13, 2016",Florida,Jacksonville,"5105 Cleveland Rd",3,2,N/A
"November 13, 2016",Texas,"San Antonio","8000 Midcrown",0,4,N/A
"November 13, 2016",California,"San Diego","3800 block of Marlborough Avenue",3,2,N/A
"November 13, 2016",Florida,Orlando,"Conley Street and South Ivey Lane",0,4,N/A
"November 12, 2016",California,Sacramento,"8600 block of Ardith Drive",1,5,N/A
"November 12, 2016",Missouri,"Kansas City","21st St and Cleveland Ave",1,3,N/A
"November 12, 2016",Connecticut,Bridgeport,"2500 Park Avenue",0,5,N/A
"November 11, 2016",Texas,Houston,"7705 Channelside Street",0,4,N/A
"November 10, 2016",Texas,Houston,"6610 S Sam Houston Pkwy W",1,3,N/A
"November 9, 2016",Washington,Seattle,"1524 3rd Ave",0,5,N/A
"November 9, 2016",Illinois,Chicago,"3400 block of W Monroe",1,3,N/A
"November 9, 2016",Tennessee,Memphis,"1800 block of East Brooks Road",0,4,N/A
"November 5, 2016",Florida,"Fort Lauderdale (Lauderhill)","3135 West Broward Boulevard",1,3,N/A
"November 5, 2016",Texas,"San Antonio","10726 Perrin Beitel Rd",0,4,N/A
"November 5, 2016","South Carolina","Myrtle Beach","803 Main St",0,5,N/A
"November 5, 2016",California,Oakland,"420 14th Street",0,8,N/A
"November 5, 2016",Illinois,Chicago,"4800 block of North Winthrop",0,5,N/A
"November 4, 2016",Pennsylvania,Philadelphia,"5451 Springfield Ave",0,4,N/A
"November 3, 2016",Illinois,Chicago,"8000 block of S Shore Dr",2,2,N/A
"November 3, 2016","New Jersey",Orange,"234 Cleveland Street",2,2,N/A
"November 2, 2016",Arkansas,"Little Rock","2111 Bragg Street",1,4,N/A
"November 1, 2016",Tennessee,Memphis,"5200 block of Zodiac Rd",1,5,N/A
"October 31, 2016",Louisiana,Shreveport,"700 Block of W 68th St",0,4,N/A
"October 30, 2016",Ohio,Toledo,"742 Junction Ave",0,4,N/A
"October 30, 2016",Maryland,"Capitol Heights","6862 Walker Mill Rd",3,3,N/A
"October 30, 2016","New York","New York (Manhattan)","135 Ridge Street",0,4,N/A
"October 30, 2016","New York",Newburgh,"119 First Street",2,5,N/A
"October 30, 2016",Texas,"San Antonio","2900 block of Aspen Meadow",0,5,N/A
"October 29, 2016",Ohio,Dayton,"2010 Cornell Ridge Dr",1,3,N/A
"October 29, 2016",California,"Los Angeles","1600 block of Century Boulevard",0,5,N/A
"October 29, 2016",California,Riverside,"3500 block of Madison Street",0,4,N/A
"October 28, 2016",Mississippi,Jackson,"200 block of Lorenz Blvd",0,6,N/A
"October 28, 2016",Florida,"Miami Gardens","Northwest 173rd Terrace and 27th Avenue",0,4,N/A
"October 27, 2016",Georgia,Jackson,"600 block of Moccasin Gap Road",4,0,N/A
"October 25, 2016",Ohio,Dayton,"3300 block of Riverside Dr",1,3,N/A
"October 25, 2016",Virginia,Roanoke,"830 Campbell Avenue Southeast",2,3,N/A
"October 23, 2016",Oklahoma,Wellston,"Highway 66 and N 3310 Rd",1,5,N/A
"October 22, 2016",California,Oakland,"77th and Bancroft Avenues",0,7,N/A
"October 18, 2016",California,"San Francisco","325 La Grande Ave",0,4,N/A
"October 17, 2016",Illinois,"Chicago (Englewood)","6700 block of South Winchester",1,4,N/A
"October 15, 2016",Alabama,Mobile,"1800 block of St Stephens Road",0,5,N/A
"October 15, 2016",Illinois,Rockford,"7801 East State St",1,5,N/A
"October 15, 2016",California,"Los Angeles","2918 Rimpau Blvd",4,11,N/A
"October 14, 2016",Illinois,Chicago,"3300 block of W Maypole Ave",1,6,N/A
"October 13, 2016",Illinois,Chicago,"2700 block of West Lexington",0,4,N/A
"October 9, 2016",Michigan,"Grand Rapids","1850 28th Street SE",1,8,N/A
"October 9, 2016",California,Sacramento,"1696 Arden Way",1,3,N/A
"October 8, 2016","New York",Brooklyn,"7301 3rd Ave",0,4,N/A
"October 4, 2016",Louisiana,"New Orleans","3727 Ulloa Street",3,2,N/A
"October 3, 2016",Minnesota,Minneapolis,"Fourth St and Hennepin Ave",0,4,N/A
"October 2, 2016",Texas,"San Antonio","2600 South Flores Street",1,4,N/A
"October 1, 2016",Illinois,"Pembroke Township","17250E Road",4,0,N/A
"October 1, 2016",California,Fresno,"3200 block of East Clay Avenue",0,4,N/A
"September 29, 2016",California,"San Francisco","400 block of Ellis St",1,3,N/A
"September 26, 2016","North Carolina","Winston Salem (Winston-salem)","100 block of 5 Royales Dr",0,4,N/A
"September 26, 2016",Texas,Humble,"21219 Grand Linden Ct",0,4,N/A
"September 26, 2016",Texas,Houston,"5450 Weslayan St",1,6,N/A
"September 25, 2016",Illinois,Champaign,"300 block of E. Green St",1,3,N/A
"September 24, 2016",Maryland,Baltimore,"Greenmount Ave and Preston St",0,8,N/A
"September 23, 2016",Washington,Burlington,"201 Cascade Mall Dr",5,0,N/A
"September 18, 2016",Pennsylvania,Philadelphia,"3001 Castor Avenue",0,4,N/A
"September 18, 2016",Pennsylvania,Pittsburgh,"1700 block of Brighton Pl",0,4,N/A
"September 18, 2016",Virginia,Lynchburg,"421 Rivermont Ave",1,3,N/A
"September 17, 2016",Florida,Miami,"20582 SW 119th Ave",0,6,N/A
"September 17, 2016",Florida,Orlando,"3918 Columbia St",1,6,N/A
"September 17, 2016",Indiana,Indianapolis,"2016 West 76th Street",2,2,N/A
"September 17, 2016","District of Columbia",Washington,"2600 block of Birney Place SE",2,7,N/A
"September 16, 2016",California,"Los Angeles (Hollywood)","555 N Heliotrope Dr",2,2,N/A
"September 16, 2016",Pennsylvania,Philadelphia,"5100 block of Sansom St",2,5,N/A
"September 14, 2016",Texas,Humble,"16000 block of Saybrook",1,3,N/A
"September 13, 2016",Indiana,"Fort Wayne","1723 E Wayne St",3,2,N/A
"September 11, 2016",Louisiana,"New Orleans","2349 S Claiborne Ave",1,5,N/A
"September 11, 2016",Missouri,"Kansas City","500 block of Westport Rd",0,6,N/A
"September 11, 2016",Michigan,Saginaw,"2207 Pierce Road",0,5,N/A
"September 11, 2016","North Carolina","New Bern","1100 block of Highway 70",0,5,N/A
"September 11, 2016",Indiana,"Fort Wayne","3006 Holton Avenue",3,1,N/A
"September 11, 2016","New Jersey","Jersey City","87 Van Wagenen Ave",1,3,N/A
"September 10, 2016",Florida,Miami,"3451 Northwest 36 Street",1,3,N/A
"September 8, 2016",Texas,"Del Valle","8330 Linden Rd",4,0,N/A
"September 8, 2016",Arkansas,"Hot Springs National Park (Hot Springs)","300 block of Lacey St",1,4,N/A
"September 5, 2016",Illinois,Chicago,"2700 block of W Lexington Ave",2,3,N/A
"September 5, 2016",Pennsylvania,Reading,"600 block of Moss Street",0,4,N/A
"September 4, 2016",Virginia,Roanoke,"1020 Orange Ave NE",1,10,N/A
"September 3, 2016","North Carolina",Wilmington,"600 block of North 30th St",1,3,N/A
"September 3, 2016",Illinois,Chicago,"100 block of North Seeley Avenue",0,4,N/A
"August 30, 2016",Georgia,Atlanta,"400 Merritts Avenue NE",0,4,N/A
"August 30, 2016",Illinois,"Chicago (Englewood)","6800 block of South Ashland",0,4,N/A
"August 29, 2016","New Jersey","Egg Harbor City","907 White Horse Pike",1,5,N/A
"August 28, 2016",Texas,Lubbock,"2200 block of 17th St",0,6,N/A
"August 28, 2016","New York",Bronx,"514 E 156th St",0,4,N/A
"August 28, 2016",Missouri,"Saint Louis","S Grand Blvd and Montana St",2,2,N/A
"August 28, 2016",Alabama,Dadeville,"512 E Columbus St",0,5,N/A
"August 27, 2016",Alabama,"Bessemer (Brighton)","3810 7th Ave",1,6,N/A
"August 27, 2016",Florida,Miami,"1900 block of NW 83rd Terr",2,4,N/A
"August 25, 2016","New Jersey",Bridgeton,"Marion Street",0,5,N/A
"August 21, 2016",Massachusetts,Boston,"Westview and Stratton Street",0,4,N/A
"August 21, 2016",Connecticut,Bridgeport,"19 Plymouth St",0,13,N/A
"August 20, 2016",Connecticut,Hamden,"903 Dixwell Ave",0,4,N/A
"August 20, 2016",Washington,Tacoma,"900 block of Pacific Avenue",0,5,N/A
"August 20, 2016",Alabama,Citronelle,"Jim Platt Road",5,0,N/A
"August 18, 2016",Connecticut,Waterbury,"402 E Main Street",0,4,N/A
"August 17, 2016",California,Oakland,"Mandela Parkway",0,4,N/A
"August 14, 2016",Virginia,Norfolk,"1600 block of Selden Avenue",0,4,N/A
"August 14, 2016",Minnesota,Minneapolis,"1717 Plymouth Ave N",0,5,N/A
"August 13, 2016",California,"Los Angeles","6300 block of 11th Avenue",0,4,N/A
"August 13, 2016",Wisconsin,Milwaukee,"4001 West Fond Du Lac Ave",2,2,N/A
"August 13, 2016","New York","Richmond Hill","Jamaica Ave and 105th St",0,4,N/A
"August 13, 2016",Missouri,Joplin,"1800 Connecticut Ave",0,4,N/A
"August 12, 2016",Florida,Jacksonville,"100 block of West 38th Street",1,3,N/A
"August 12, 2016",Texas,Dallas,"10921 Estate Ln",1,3,N/A
"August 11, 2016",Pennsylvania,Philadelphia,"500 block of E Ashmead St",0,4,N/A
"August 10, 2016",Illinois,Evanston,"Foster Street and Jackson Avenue",0,4,N/A
"August 10, 2016",California,Sacramento,"4000 Green Tree Drive",1,3,N/A
"August 8, 2016",Florida,Jacksonville,"1214 Labelle St",0,7,N/A
"August 8, 2016","New Mexico",Albuquerque,"341 General Marshall Street NE",2,2,N/A
"August 7, 2016",California,"Los Angeles","5925 South Figueroa Street",1,3,N/A
"August 7, 2016",Mississippi,Vicksburg,"4460 Clay St",1,3,N/A
"August 7, 2016",Colorado,Arvada,"5400 block of Sheridan Boulevard",2,2,N/A
"August 7, 2016",Illinois,Chicago,"100 block of South Springfield",0,4,N/A
"August 6, 2016",Pennsylvania,"Reading (Sinking Spring)","51 Winding Brook Drive",5,0,N/A
"August 5, 2016",Michigan,Pontiac,"70 block of Thorpe Street",1,3,N/A
"August 5, 2016",California,Perris,"21600 block of Rider St",2,2,N/A
"August 4, 2016",Tennessee,Memphis,"Ayers Street and Griffith Avenue",0,4,N/A
"August 3, 2016",Georgia,Decatur,"4110 Glenwood Road",1,3,N/A
"August 2, 2016",Florida,"Hollywood (West Park)","5700 block of Hallandale Beach Blvd",0,4,N/A
"August 1, 2016",Indiana,Evansville,"South Bedford Avenue",0,4,N/A
"July 31, 2016",Florida,Miami,"Southwest 203rd Terrace and 115th Avenue",3,1,N/A
"July 31, 2016",Texas,Austin,"208 E 6th St",1,4,N/A
"July 30, 2016",Missouri,"Saint Louis","5000 block of Kensington Ave",0,5,N/A
"July 30, 2016",Washington,Mukilteo,"10009 Chennault Beach",3,1,N/A
"July 30, 2016",Georgia,"Townsend (Eulonia)","14699 Highway 17",0,5,N/A
"July 29, 2016",Georgia,Athens,"Trail Creek St",0,7,N/A
"July 28, 2016","New York",Elmira,"303 College Ave",0,5,N/A
"July 28, 2016",Maryland,Baltimore,"Greenmount Avenue",0,4,N/A
"July 28, 2016",Illinois,Chicago,"800 block of West 50th Place",2,2,N/A
"July 25, 2016",Florida,"Fort Myers","3580 Evans Ave",2,19,N/A
"July 24, 2016",Ohio,Hamilton,"1555 Main St",1,7,N/A
"July 23, 2016","South Carolina","North Charleston","3630 Ashley Phosphate Road",0,4,N/A
"July 23, 2016",Ohio,Cincinnati,"3400 block of Beekman St",2,2,N/A
"July 23, 2016","New York",Brooklyn,"Fountain Avenue",0,4,N/A
"July 23, 2016",Texas,Bastrop,"202 Childers Drive",4,1,N/A
"July 22, 2016",Illinois,Kankakee,"300 block of North Wildwood Avenue",0,5,N/A
"July 21, 2016",Illinois,Chicago,"4400 block of South Leamington",0,5,N/A
"July 20, 2016",California,Fresno,"5100 block of E Hedges Ave",0,4,N/A
"July 19, 2016",Arkansas,"West Memphis","13th Street and Tyler Avenue",0,4,N/A
"July 17, 2016",Texas,Houston,"6610 Tidwell",1,3,N/A
"July 17, 2016",Michigan,Detroit,"Grand River and McGraw avenue",0,4,N/A
"July 17, 2016",Louisiana,"Baton Rouge","9611 Airline Hwy",4,3,N/A
"July 16, 2016",Texas,Dallas,"6300 block of Benavides Drive",0,5,N/A
"July 16, 2016",Ohio,Cleveland,"5000 block of Euclid Avenue",0,5,N/A
"July 16, 2016",California,Bakersfield,"621 Stephens Dr",1,14,N/A
"July 16, 2016",California,"San Bernardino","1200 block of West 25th Street",0,4,N/A
"July 16, 2016",Tennessee,Clarksville,"1348 College Street",0,6,N/A
"July 15, 2016",Washington,Woodland,"4006 NW 417th Street",3,1,N/A
"July 14, 2016",Texas,Crosby,"400 block of Pecan Avenue",3,1,N/A
"July 14, 2016",California,Oakland,"1600 block of 7th Street",0,4,N/A
"July 14, 2016",Ohio,Akron,"900 block of Moeller Avenue",1,3,N/A
"July 13, 2016",Georgia,"Warner Robins","105 Magnolia Avenue",0,5,N/A
"July 13, 2016",Missouri,"Saint Louis","3000 block of Miami St",2,2,N/A
"July 11, 2016",Maryland,Baltimore,"1800 block of W. North Avenue",0,5,N/A
"July 11, 2016",Michigan,Jackson,"500 block of Summit Avenue",0,4,N/A
"July 11, 2016",Michigan,"Saint Joseph","811 Port St",3,2,N/A
"July 11, 2016","District of Columbia",Washington,"5100 block of Call Pl., SE",0,4,N/A
"July 7, 2016",Louisiana,"Baton Rouge","2136 North Lobdell Avenue",0,4,N/A
"July 7, 2016",Texas,Dallas,"800 Main St",5,9,N/A
"July 7, 2016",Tennessee,Bristol,"536 Volunteer Pkwy",1,4,N/A
"July 5, 2016",California,"Los Angeles","56th Street and Naomi Avenue",0,4,N/A
"July 4, 2016","New York",Brooklyn,"419 Chauncey St",0,7,N/A
"July 4, 2016",Texas,Houston,"1312 Robin",3,2,N/A
"July 4, 2016",Pennsylvania,Pittsburgh,"Seventh  Ave and Liberty Ave",0,4,N/A
"July 4, 2016",Illinois,"Chicago (Englewood)","5500 block of South Hermitage Avenue",0,4,N/A
"July 4, 2016",Ohio,Cleveland,"1400 block of W. 107 Street",0,4,N/A
"July 4, 2016",Arizona,Phoenix,"4000 block of West Southern Avenue",2,6,N/A
"July 3, 2016",Louisiana,Monroe,"401 Lea Joyner Memorial Expy",2,3,N/A
"July 3, 2016",Tennessee,Chattanooga,"2300 block of Daisy Street",0,4,N/A
"June 30, 2016",Illinois,Chicago,"9500 block of South Loomis Street",1,4,N/A
"June 29, 2016",Nevada,"Las Vegas","6100 block of West Lake Mead Boulevard",5,0,N/A
"June 28, 2016",California,"Los Angeles","13800 block of S Avalon Boulevard",1,3,N/A
"June 28, 2016",Illinois,Chicago,"1600 block of South Christiana",0,4,N/A
"June 27, 2016",Oregon,Woodburn,"13436 Killiam Loop NE",3,1,N/A
"June 26, 2016","South Carolina",Bennettsville,"Highway 38 N",0,4,N/A
"June 26, 2016","North Carolina",Charlotte,"2240 Camp Greene St",0,5,N/A
"June 26, 2016",Georgia,Atlanta,"1500 block of Moreland Avenue SE",1,4,N/A
"June 26, 2016",Texas,Houston,"6000 block of Elm Street",1,3,N/A
"June 26, 2016",Texas,"Corpus Christi","Baldwin Blvd  and Lamar",0,4,N/A
"June 25, 2016",Texas,"Fort Worth","2466 East Lancaster Avenue",2,5,N/A
"June 25, 2016",Virginia,Norfolk,"700 block of Craig Street",0,4,N/A
"June 25, 2016",Illinois,Chicago,"1400 block of W. 114th Place",0,4,N/A
"June 24, 2016",Kansas,"Kansas City","N. 3rd and Walker",0,4,N/A
"June 24, 2016",Connecticut,Hartford,"Brook and Winter Street",0,5,N/A
"June 24, 2016",Maryland,"District Heights","3100 block of Orleans Ave",3,2,N/A
"June 22, 2016",Washington,Olympia,"500 block of Dutterow Road SE",3,1,N/A
"June 22, 2016",Georgia,"Dekalb (county)","Lancashire Drive and Central Drive",1,4,N/A
"June 22, 2016",Illinois,Chicago,"3100 block of West Warren",0,4,N/A
"June 21, 2016","New Jersey",Willingboro,"Mosshill Lane",0,4,N/A
"June 21, 2016",Kentucky,Louisville,"2802 Rodman Street",2,2,N/A
"June 19, 2016",Virginia,Roanoke,"2328 Melrose Avenue",0,4,N/A
"June 18, 2016",Virginia,Exmore,"Fredrick Douglas Road",1,3,N/A
"June 18, 2016",Georgia,Waycross,"2625 Arnold Ct",2,2,N/A
"June 18, 2016",Illinois,Chicago,"East 79th Street and South Escanaba Avenue",0,4,N/A
"June 14, 2016",Delaware,Wilmington,"South Van Buren and Elm streets",0,4,N/A
"June 14, 2016",California,Oakland,"1301 Franklin Street",1,3,N/A
"June 13, 2016",California,Fresno,"East El Monte Way and Recreation Avenue",0,4,N/A
"June 13, 2016","New York",Brooklyn,"Avenue D and E. 57th",0,5,N/A
"June 13, 2016",Illinois,Chicago,"3200 block of West Congress",0,5,N/A
"June 12, 2016",Florida,Orlando,"1912 S Orange Ave",50,53,N/A
"June 11, 2016","New Mexico",Roswell,"2300 block of Davis Ave",5,0,N/A
"June 11, 2016",Minnesota,Webster,"4000 block of Elmore Avenue",0,4,N/A
"June 11, 2016","North Carolina",Charlotte,"4000 block of Collegiate Avenue",1,3,N/A
"June 11, 2016",California,Stockton,"Alvarado Avenue",1,3,N/A
"June 11, 2016",California,"Panorama City","8500 block of Cedros Avenue",3,2,N/A
"June 9, 2016",Florida,"Fort Walton Beach","Landview Drive",0,4,N/A
"June 8, 2016","District of Columbia",Washington,"1300 North Capitol St NW",0,4,N/A
"June 8, 2016",Massachusetts,Boston,"66 Washington St",1,3,N/A
"June 6, 2016",California,Visalia,"33 60 South Fairway Street",0,4,N/A
"June 5, 2016",Minnesota,Minneapolis,"8th and Humboldt Avenue N.",0,4,N/A
"June 5, 2016",Florida,"Cape Coral","2600 block of Skyline Boulevard S",3,3,N/A
"June 5, 2016",Arizona,Phoenix,"8152 N Black Canyon Hwy",2,4,N/A
"June 5, 2016","New York",Brooklyn,"Mermaid Ave and 16th St.",0,4,N/A
"June 4, 2016",Colorado,Denver,"3600 block of Hudson Street",3,1,N/A
"May 31, 2016",Illinois,Chicago,"3300 block of West Huron Street",0,4,N/A
"May 31, 2016",Indiana,"Fort Wayne","6600 block of Pawawna Drive",0,4,N/A
"May 30, 2016",Maryland,Baltimore,"500 block of East 43rd Street",0,5,N/A
"May 30, 2016",California,Sacramento,"3900 block of 44th",0,5,N/A
"May 29, 2016",Nevada,"Las Vegas","200 block of N 3rd St",0,4,N/A
"May 29, 2016","New Jersey",Trenton,"600 block of Martin Luther King Jr. Boulevard",0,6,N/A
"May 29, 2016",Indiana,Indianapolis,"300 block of South Meridian Street",0,4,N/A
"May 29, 2016",Texas,Houston,"13210 Memorial Dr",2,6,N/A
"May 23, 2016","New Jersey",Newark,"102 Isabella Avenue",0,5,N/A
"May 22, 2016",Louisiana,"New Orleans","8639 Apple St",0,4,N/A
"May 22, 2016",California,Stockton,"Poplar and Sutter Streets",1,3,N/A
"May 22, 2016",Tennessee,Nashville,"100 block of Rains Avenue",0,4,N/A
"May 21, 2016",Georgia,Jackson,"Levi Barnes Road",1,3,N/A
"May 18, 2016",Indiana,Indianapolis,"34th Street and North Keystone Avenue",0,4,N/A
"May 17, 2016","South Carolina",Ravenel,"5360 Savannah Highway",3,1,N/A
"May 15, 2016",Georgia,Moultrie,"Rossman Dairy Road",5,0,N/A
"May 15, 2016",Indiana,Evansville,"420 North Garvin Street",0,4,N/A
"May 14, 2016",Georgia,Atlanta,"Cordova and Peoples Street",0,5,N/A
"May 14, 2016","West Virginia",Charleston,"2337 Washington St W",1,3,N/A
"May 11, 2016",Alabama,Birmingham,"1400 block of 21st St N",1,4,N/A
"May 11, 2016",Illinois,Chicago,"7100 block of South State Street",0,5,N/A
"May 8, 2016",Texas,Austin,"8600 block of North Lamar",1,3,N/A
"May 6, 2016",Michigan,Detroit,"12300 block of Gratiot",1,4,N/A
"May 6, 2016",Alabama,Montgomery,"1300 block of Clay Street",1,3,N/A
"May 6, 2016",Maryland,Bethesda,"7101 Democracy Blvd",3,3,N/A
"May 5, 2016",Louisiana,Shreveport,"300 block of North Thomas Drive",2,6,N/A
"May 5, 2016",Florida,Miami,"2108 NW 19th Terrace",1,3,N/A
"May 4, 2016",Minnesota,Minneapolis,"16th Avenue North and Newton Avenue North",1,7,N/A
"May 1, 2016",Tennessee,Murfreesboro,"1955 Old Castle Drive",0,5,N/A
"April 29, 2016",Missouri,"Saint Louis (Ferguson)","400 block of N Dade Ave",0,4,N/A
"April 29, 2016",California,Oakland,"3200 block of San Pablo Avenue",0,5,N/A
"April 27, 2016",Louisiana,"Baton Rouge","4300  Block of Kerrit Dr",2,2,N/A
"April 27, 2016",Mississippi,Kilmichael,"Pecan Drive",3,1,N/A
"April 26, 2016",Maryland,"District Heights (Forestville)","6500 block of Hil-Mar Drive",1,4,N/A
"April 25, 2016",Tennessee,Nashville,"400 Charlotte Avenue",0,4,N/A
"April 25, 2016",Florida,Miami,"1506 Northwest 70th Street",0,5,N/A
"April 24, 2016",Virginia,Halifax,"1055 L P Bailey Memorial Hwy",0,5,N/A
"April 24, 2016",Illinois,"Chicago (Englewood)","2000 block of West 68th Place",2,3,N/A
"April 24, 2016",Colorado,Denver,"1400 block of 14th Street",0,4,N/A
"April 23, 2016",Nevada,"Las Vegas","1650 South Hollywood Boulevard",1,3,N/A
"April 23, 2016",Alabama,Auburn,"1200 block of Lee Road 83",3,1,N/A
"April 23, 2016","New York","New York (Manhattan)","West 141st Street and Edgecombe Avenue",0,4,N/A
"April 23, 2016",Kansas,Topeka,"3732 SW Topeka Blvd",1,4,N/A
"April 22, 2016",Ohio,Piketon,"4077 Union Hill Rd",8,0,N/A
"April 22, 2016",Georgia,Appling,"3162 Johnson Drive",6,0,N/A
"April 21, 2016",Maryland,Baltimore,"4800 block of Frankford Avenue",0,4,N/A
"April 19, 2016",Alabama,Blountsville,"81551 US Highway 278",1,4,N/A
"April 19, 2016",Illinois,Chicago,"2700 block of West 53rd Street",1,3,N/A
"April 19, 2016",Illinois,Chicago,"1400 block of West 84th Street",1,4,N/A
"April 18, 2016",California,"Long Beach","1200 block of E. 17th Street",1,3,N/A
"April 17, 2016",Pennsylvania,Philadelphia,"600 block of Westmoreland Street",3,1,N/A
"April 17, 2016","South Carolina",Pelzer,"200 block of Eastview Road",1,3,N/A
"April 17, 2016",Texas,Edinburg,"5021 W St Hwy 107",1,6,N/A
"April 16, 2016",Michigan,Detroit,"9500 block of Oakland",1,4,N/A
"April 16, 2016",Florida,Orlando,"1100 block of Conley Street",2,4,N/A
"April 16, 2016",Alabama,Enterprise,"Baxter Street",0,4,N/A
"April 10, 2016",Wisconsin,Milwaukee,"76th and Sheridan",1,3,N/A
"April 10, 2016",California,"Los Angeles","84th Street and Towne Avenue",0,4,N/A
"April 9, 2016",Tennessee,Memphis,"Mt Moriah Road and Ridgeway Road",0,4,N/A
"April 9, 2016",Alabama,Anniston,"West 15th Street and Crawford Avenue",0,4,N/A
"April 9, 2016","New Mexico",Albuquerque,"2600 block of Mesa Drive SE",0,4,N/A
"April 7, 2016",Illinois,Chicago,"2200 block of East 70th Place",0,4,N/A
"March 31, 2016",Illinois,"Chicago (Englewood)","6800 block of South Throop",0,4,N/A
"March 25, 2016",Illinois,Chicago,"4500 block of West West End Avenue",0,4,N/A
"March 25, 2016",Colorado,Denver,"8501 E. Alameda Avenue",0,4,N/A
"March 21, 2016",Illinois,Chicago,"5700 block of West Washington Boulevard",0,4,N/A
"March 19, 2016",Florida,Plantation,"12050 NW 4th Court",1,4,N/A
"March 19, 2016",Alabama,Wetumpka,"South Shelby Street",2,2,N/A
"March 15, 2016",Georgia,Atlanta,"Donald Lee Hollowell Drive",0,5,N/A
"March 13, 2016",Florida,"Fort Myers","50 South Road",0,4,N/A
"March 12, 2016",Oregon,Portland,"16126 S.E. Stark St.",0,4,N/A
"March 12, 2016",California,Oakland,"Interstate 880",0,4,N/A
"March 11, 2016",Michigan,Detroit,"2600 block of Hazelwood",2,2,N/A
"March 11, 2016","New Jersey",Trenton,"Oliver Avenue",0,5,N/A
"March 9, 2016",Pennsylvania,Pittsburgh,"1304 Franklin Ave",5,3,N/A
"March 8, 2016",Texas,"San Antonio","Sherman St",2,3,N/A
"March 7, 2016",Louisiana,Lafayette,"800 block of Martin Luther King Jr. Drive",0,4,N/A
"March 7, 2016",Kansas,"Kansas City","3000 block of South 36th Street",5,0,N/A
"March 6, 2016",Massachusetts,Chelsea,"120 Washington Avenue",1,6,N/A
"March 6, 2016",Georgia,Roswell,"890 Atlanta St",0,4,N/A
"March 6, 2016",California,Compton,"900 block of West Victoria Street",1,8,N/A
"March 5, 2016",Kansas,Wichita,"116 North Mead",0,4,N/A
"March 4, 2016",Ohio,Columbus,"900 E 5th Ave",1,3,N/A
"February 28, 2016",Michigan,Detroit,"8800 block of Livernois",0,5,N/A
"February 28, 2016",California,"Riverside (Jurupa Valley)","5500 block of Etiwanda Avenue",1,3,N/A
